C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/22/2017,04:00:00,REGULAR,0005413623,0007453349                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/22/2017,08:00:00,REGULAR,0005413668,0007453642                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/22/2017,12:00:00,REGULAR,0005413863,0007454313                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/22/2017,16:00:00,REGULAR,0005414178,0007454605                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/22/2017,20:00:00,REGULAR,0005414820,0007454935                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/23/2017,00:00:00,REGULAR,0005415092,0007455058                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/23/2017,04:00:00,REGULAR,0005415114,0007455072                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/23/2017,08:00:00,REGULAR,0005415146,0007455413                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/23/2017,12:00:00,REGULAR,0005415312,0007456014                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/23/2017,16:00:00,REGULAR,0005415640,0007456297                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/23/2017,20:00:00,REGULAR,0005416245,0007456577                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/17/2017,00:00:00,REGULAR,0005039667,0005957676                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/17/2017,04:00:00,REGULAR,0005039695,0005957693                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/17/2017,08:00:00,REGULAR,0005039714,0005957786                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/17/2017,12:00:00,REGULAR,0005039815,0005957951                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/17/2017,16:00:00,REGULAR,0005040064,0005958025                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/17/2017,20:00:00,REGULAR,0005040331,0005958108                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/18/2017,00:00:00,REGULAR,0005040486,0005958167                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/18/2017,04:00:00,REGULAR,0005040511,0005958185                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/18/2017,08:00:00,REGULAR,0005040521,0005958229                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/18/2017,12:00:00,REGULAR,0005040635,0005958366                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/18/2017,16:00:00,REGULAR,0005040819,0005958489                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/18/2017,20:00:00,REGULAR,0005041009,0005958603                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/19/2017,00:00:00,REGULAR,0005041142,0005958658                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/19/2017,04:00:00,REGULAR,0005041147,0005958665                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/19/2017,08:00:00,REGULAR,0005041180,0005958955                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/19/2017,12:00:00,REGULAR,0005041388,0005959457                                            
A002,R051,02-03-03,59 ST,NQR456W,BMT,06/19/2017,16:00:00,REGULAR,0005041611,0005959582                                            
